"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","TOBS","WDF2","WSF2","WT01","WT02","WT04","WT06","WT08","WT09"
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-23",,,"0.27",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-24",,,"0.06",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-25",,,"0.74",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-26",,,"0.20",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-27",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-28",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-01",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-02",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-03",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-04",,,"0.05",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-05",,,"0.52",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-06",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-07",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-08",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-09",,,"0.01",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-10",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-11",,,"0.00",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-12",,,"0.01",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-13",,,"0.45",,,,,,,,,,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2018-01-14",,,"0.00",,,,,,,,,,,,
